N,P,X,Cmap,Parents,Children
50,0.1,1,60584,33192,34384
50,0.1,2,58400,33784,34976
50,0.1,3,73424,42448,43640
50,0.1,4,88368,61280,62472
50,0.1,5,67312,43200,44392
51,0.1,1,93480,68288,69504
51,0.1,2,69416,45208,46408
51,0.1,3,65144,44792,46008
51,0.1,4,66072,47904,49120
51,0.1,5,52632,36672,37888
52,0.1,1,68448,46328,47552
52,0.1,2,83840,76064,77304
52,0.1,3,55016,35312,36552
52,0.1,4,83400,59920,61160
52,0.1,5,97096,54656,55896
53,0.1,1,107888,58600,59864
53,0.1,2,97840,67320,68584
53,0.1,3,94160,64728,65992
53,0.1,4,75800,42240,43504
53,0.1,5,58608,46264,47528
54,0.1,1,64656,39136,40424
54,0.1,2,68616,40976,42264
54,0.1,3,75488,52304,53592
54,0.1,4,109472,66688,67976
54,0.1,5,119768,70168,71456
55,0.1,1,75304,46264,47576
55,0.1,2,87104,60632,61944
55,0.1,3,103192,64584,65896
55,0.1,4,53952,41672,42984
55,0.1,5,75648,39392,40704
56,0.1,1,72600,40152,41488
56,0.1,2,83160,48968,50304
56,0.1,3,79488,50920,52256
56,0.1,4,93624,54312,55648
56,0.1,5,51080,45504,46840
57,0.1,1,110104,77144,78504
57,0.1,2,74864,46936,48296
57,0.1,3,84904,44216,45576
57,0.1,4,69384,42800,44160
57,0.1,5,76224,41920,43280
58,0.1,1,119624,60920,62304
58,0.1,2,123448,64880,66264
58,0.1,3,103032,58512,59896
58,0.1,4,78264,47056,48440
58,0.1,5,97464,56288,57672
59,0.1,1,78552,41296,42704
59,0.1,2,113584,50928,52336
59,0.1,3,76440,54864,56272
59,0.1,4,114688,68984,70392
59,0.1,5,89600,52344,53752
60,0.1,1,71584,43152,44584
60,0.1,2,118160,62136,63568
60,0.1,3,90520,73904,75336
60,0.1,4,108928,57424,58856
60,0.1,5,70736,46400,47832
61,0.1,1,90832,60440,61896
61,0.1,2,96128,60368,61824
61,0.1,3,100056,57408,58864
61,0.1,4,74632,38176,39632
61,0.1,5,76168,48600,50056
62,0.1,1,105936,59992,61472
62,0.1,2,79128,51496,52976
62,0.1,3,70336,42560,44040
62,0.1,4,91640,57608,59088
62,0.1,5,121520,45736,47216
63,0.1,1,130448,79944,81448
63,0.1,2,77696,44600,46104
63,0.1,3,99160,61600,63104
63,0.1,4,139992,63112,64616
63,0.1,5,135848,80176,81680
64,0.1,1,76744,44496,46024
64,0.1,2,129008,62528,64056
64,0.1,3,116720,79776,81304
64,0.1,4,122928,63128,64656
64,0.1,5,158712,83424,84952
65,0.1,1,104376,64840,66392
