N,P,X,History
97,0.0,2,248656
97,0.0,3,275320
97,0.0,4,329976
97,0.0,5,250152
98,0.0,1,309320
98,0.0,2,320168
98,0.0,3,329072
98,0.0,4,290984
98,0.0,5,217976
99,0.0,1,220808
99,0.0,2,311320
99,0.0,3,255504
99,0.0,4,319432
99,0.0,5,226752
100,0.0,1,262048
100,0.0,2,402768
100,0.0,3,296944
100,0.0,4,282872
100,0.0,5,342784
1,0.1,1,3992
1,0.1,2,3992
1,0.1,3,4040
1,0.1,4,4008
1,0.1,5,4040
2,0.1,1,4464
2,0.1,2,4552
2,0.1,3,4480
2,0.1,4,9672
2,0.1,5,6048
3,0.1,1,9712
3,0.1,2,10336
3,0.1,3,5696
3,0.1,4,9368
3,0.1,5,5032
4,0.1,1,5696
4,0.1,2,8528
4,0.1,3,5928
4,0.1,4,7960
4,0.1,5,5696
5,0.1,1,12344
5,0.1,2,6880
5,0.1,3,9712
5,0.1,4,10160
5,0.1,5,5800
6,0.1,1,7808
6,0.1,2,8832
6,0.1,3,13120
6,0.1,4,9280
6,0.1,5,8592
7,0.1,1,7008
7,0.1,2,7552
7,0.1,3,14656
7,0.1,4,7040
7,0.1,5,7192
8,0.1,1,7952
8,0.1,2,7432
8,0.1,3,8456
8,0.1,4,7496
8,0.1,5,16472
9,0.1,1,18496
9,0.1,2,28120
9,0.1,3,18888
9,0.1,4,10120
9,0.1,5,11408
10,0.1,1,13976
10,0.1,2,21912
10,0.1,3,10120
10,0.1,4,11800
10,0.1,5,14432
11,0.1,1,9904
11,0.1,2,12232
11,0.1,3,18928
11,0.1,4,26632
11,0.1,5,14464
12,0.1,1,17160
12,0.1,2,10008
12,0.1,3,21400
12,0.1,4,10320
12,0.1,5,20784
13,0.1,1,10880
13,0.1,2,19216
13,0.1,3,11624
13,0.1,4,29408
13,0.1,5,19056
14,0.1,1,16856
14,0.1,2,22144
14,0.1,3,20504
14,0.1,4,13664
14,0.1,5,16248
15,0.1,1,27184
15,0.1,2,13032
15,0.1,3,32408
15,0.1,4,22312
15,0.1,5,13848
16,0.1,1,26200
16,0.1,2,27248
16,0.1,3,19912
16,0.1,4,30728
16,0.1,5,27584
17,0.1,1,26760
17,0.1,2,26752
17,0.1,3,15864
17,0.1,4,36232
17,0.1,5,26848
18,0.1,1,14168
18,0.1,2,22688
18,0.1,3,33016
18,0.1,4,18480
18,0.1,5,22160
19,0.1,1,34304
19,0.1,2,27328
19,0.1,3,22160
19,0.1,4,38128
19,0.1,5,17616
20,0.1,1,24920
20,0.1,2,45168
20,0.1,3,30096
20,0.1,4,40016
20,0.1,5,26008
21,0.1,1,39184
21,0.1,2,38768
21,0.1,3,31624
21,0.1,4,19232
21,0.1,5,23768
22,0.1,1,55856
22,0.1,2,23440
22,0.1,3,41368
22,0.1,4,29408
22,0.1,5,42248
23,0.1,1,51880
23,0.1,2,27840
