N,P,X,Cmap,Parents,Children
64,0.0,3,80416,40472,41984
64,0.0,4,79880,47704,49216
64,0.0,5,104384,70520,72048
65,0.0,1,76296,44688,46240
65,0.0,2,88024,46416,47968
65,0.0,3,138032,85384,86936
65,0.0,4,128296,65984,67536
65,0.0,5,111536,54576,56128
66,0.0,1,84216,46768,48328
66,0.0,2,85112,53240,54816
66,0.0,3,72104,52976,54552
66,0.0,4,109600,58336,59912
66,0.0,5,111528,60304,61880
67,0.0,1,112528,58768,60368
67,0.0,2,80376,32072,33672
67,0.0,3,131552,70912,72512
67,0.0,4,148760,75432,77032
67,0.0,5,99544,52464,54064
68,0.0,1,86560,52752,54376
68,0.0,2,116072,57528,59152
68,0.0,3,135616,70984,72608
68,0.0,4,143200,65784,67408
68,0.0,5,94936,61584,63208
69,0.0,1,113728,49656,51304
69,0.0,2,137248,71928,73576
69,0.0,3,86496,77520,79168
69,0.0,4,163808,80584,82232
69,0.0,5,85480,56872,58520
70,0.0,1,90304,50008,51680
70,0.0,2,123024,71288,72960
70,0.0,3,99632,51184,52856
70,0.0,4,157272,65968,67640
70,0.0,5,114816,76336,78008
71,0.0,1,114632,60824,62520
71,0.0,2,107520,65040,66736
71,0.0,3,141392,65752,67448
71,0.0,4,100256,59992,61688
71,0.0,5,151840,80712,82408
72,0.0,1,114560,62248,63968
72,0.0,2,163224,76792,78512
72,0.0,3,137472,69912,71632
72,0.0,4,129232,58784,60504
72,0.0,5,86608,56296,58016
73,0.0,1,125144,57064,58808
73,0.0,2,132712,64960,66688
73,0.0,3,117688,68440,70184
73,0.0,4,151520,82528,84272
73,0.0,5,109312,54256,56000
74,0.0,1,103736,57776,59544
74,0.0,2,110976,66736,68504
74,0.0,3,170912,84144,85912
74,0.0,4,115808,71512,73280
74,0.0,5,146048,68864,70632
75,0.0,1,144048,92040,93832
75,0.0,2,156880,83392,85184
75,0.0,3,156080,78800,80592
75,0.0,4,125928,67464,69256
75,0.0,5,117120,63752,65544
76,0.0,1,169608,85712,87528
76,0.0,2,194248,86280,88096
76,0.0,3,179616,71752,73568
76,0.0,4,148424,74704,76520
76,0.0,5,169920,76880,78696
77,0.0,1,193760,72528,74368
77,0.0,2,127104,60688,62528
77,0.0,3,163128,96960,98800
77,0.0,4,151976,82920,84744
77,0.0,5,101552,46944,48784
78,0.0,1,169824,76584,78448
78,0.0,2,167496,72336,74200
78,0.0,3,134264,63776,65640
78,0.0,4,141640,81272,83136
78,0.0,5,110920,60648,62512
79,0.0,1,140576,77032,78920
79,0.0,2,109280,46528,48416
79,0.0,3,159320,71392,73280
79,0.0,4,195640,73824,75712
79,0.0,5,170672,75032,76920
80,0.0,1,175624,74688,76600
80,0.0,2,189544,75920,77832
80,0.0,3,104896,64560,66472
80,0.0,4,173024,74408,76320
80,0.0,5,173520,82024,83936
81,0.0,1,132648,61392,63328
81,0.0,2,172272,88816,90752
81,0.0,3,163280,64520,66456
81,0.0,4,133000,61112,63048
81,0.0,5,163496,70304,72240
82,0.0,1,188288,78360,80320
82,0.0,2,213880,77464,79408
82,0.0,3,180480,90672,92632
82,0.0,4,130344,70648,72608
82,0.0,5,135296,68328,70288
83,0.0,1,155408,88624,90608
83,0.0,2,251336,110872,112856
83,0.0,3,216320,90376,92360
83,0.0,4,149520,80104,82088
83,0.0,5,195616,92600,94584
84,0.0,1,113320,74152,76160
84,0.0,2,156000,68496,70504
84,0.0,3,168464,73848,75856
84,0.0,4,198272,91152,93160
84,0.0,5,233264,101448,103456
85,0.0,1,152000,80976,83008
85,0.0,2,166600,77016,79048
85,0.0,3,149896,64616,66648
85,0.0,4,120664,61368,63400
85,0.0,5,156928,74096,76128
86,0.0,1,151120,98096,100152
86,0.0,2,171160,69680,71736
86,0.0,3,162328,80064,82120
86,0.0,4,174672,89352,91408
86,0.0,5,216728,109784,111840
87,0.0,1,146048,68056,70136
87,0.0,2,212176,100680,102760
87,0.0,3,183552,81912,83992
87,0.0,4,178072,76864,78944
87,0.0,5,138408,83088,85168
88,0.0,1,170600,72224,74328
88,0.0,2,195096,99592,101696
88,0.0,3,183888,98808,100912
88,0.0,4,119360,49392,51496
88,0.0,5,144720,91608,93712
89,0.0,1,195752,88920,91048
89,0.0,2,160016,78016,80144
89,0.0,3,172800,68672,70800
89,0.0,4,187328,91424,93552
89,0.0,5,169504,78120,80248
90,0.0,1,170736,78008,80160
90,0.0,2,189032,80872,83024
90,0.0,3,162456,69264,71416
90,0.0,4,223416,77808,79960
90,0.0,5,162520,77456,79608
91,0.0,1,176384,81344,83520
91,0.0,2,186696,81552,83728
91,0.0,3,164952,73744,75920
91,0.0,4,252136,97976,100152
91,0.0,5,201280,81104,83280
92,0.0,1,228464,89928,92128
92,0.0,2,248440,86920,89120
92,0.0,3,206488,76464,78664
92,0.0,4,210832,79968,82168
92,0.0,5,227864,101040,103240
93,0.0,1,151904,82864,85088
93,0.0,2,293280,100456,102680
93,0.0,3,190832,91416,93640
93,0.0,4,179648,83456,85680
93,0.0,5,272504,107968,110192
94,0.0,1,220400,88104,90352
94,0.0,2,137184,69432,71680
94,0.0,3,153040,68840,71088
94,0.0,4,189088,95288,97536
94,0.0,5,162272,78952,81200
95,0.0,1,262664,100896,103168
95,0.0,2,201712,85256,87528
95,0.0,3,187152,89552,91824
95,0.0,4,231032,102840,105112
95,0.0,5,214088,86168,88440
96,0.0,1,249792,95072,97368
96,0.0,2,219416,90744,93040
96,0.0,3,165392,74456,76752
96,0.0,4,255136,105312,107608
96,0.0,5,228984,98584,100880
97,0.0,1,215072,87816,90136
97,0.0,2,180016,89424,91744
97,0.0,3,232016,96056,98376
97,0.0,4,249544,120152,122472
97,0.0,5,200760,82632,84952
98,0.0,1,198392,97872,100216
98,0.0,2,270240,115536,117880
98,0.0,3,249488,101368,103712
98,0.0,4,220912,98592,100936
98,0.0,5,228464,100104,102448
99,0.0,1,181592,83240,85608
99,0.0,2,225136,105816,108184
99,0.0,3,187136,88432,90800
99,0.0,4,241832,103840,106208
99,0.0,5,209560,95944,98312
100,0.0,1,141840,63056,65448
100,0.0,2,269680,110360,112752
100,0.0,3,241160,98944,101336
100,0.0,4,223880,90064,92456
100,0.0,5,259816,87200,89592
1,0.1,1,4008,16,16
1,0.1,2,3976,16,16
1,0.1,3,3976,16,16
1,0.1,4,4008,16,16
1,0.1,5,3960,16,16
2,0.1,1,4392,216,240
2,0.1,2,4352,592,616
2,0.1,3,4328,456,480
2,0.1,4,4304,488,512
2,0.1,5,4280,320,344
3,0.1,1,4552,4360,4408
3,0.1,2,4600,832,880
3,0.1,3,4552,984,1032
3,0.1,4,5416,2840,2888
3,0.1,5,6232,4216,4248
4,0.1,1,6792,9040,9096
4,0.1,2,6928,5112,5184
4,0.1,3,4840,1208,1280
4,0.1,4,6752,5248,5320
4,0.1,5,7696,10320,10376
5,0.1,1,5272,1584,1680
5,0.1,2,7200,9496,9576
5,0.1,3,5768,7368,7480
5,0.1,4,5288,1808,1904
5,0.1,5,5240,4152,4248
6,0.1,1,6560,3744,3848
6,0.1,2,9240,7576,7680
6,0.1,3,5448,4760,4896
6,0.1,4,7720,7808,7944
6,0.1,5,5584,2224,2328
7,0.1,1,6904,5464,5608
7,0.1,2,8208,5136,5280
7,0.1,3,16864,17816,17976
7,0.1,4,5840,10944,11104
7,0.1,5,5952,2424,2568
8,0.1,1,8944,8720,8888
8,0.1,2,6584,4144,4312
8,0.1,3,9480,8888,9056
8,0.1,4,6368,2944,3112
8,0.1,5,6240,3360,3528
9,0.1,1,9392,8904,9096
9,0.1,2,9520,7600,7792
9,0.1,3,9416,8856,9048
9,0.1,4,13784,19992,20184
9,0.1,5,8872,10408,10600
10,0.1,1,6872,4896,5112
10,0.1,2,6968,2952,3152
10,0.1,3,9696,8032,8264
10,0.1,4,7064,6760,6976
10,0.1,5,7120,4664,4880
11,0.1,1,8560,10704,10944
11,0.1,2,8656,12496,12736
11,0.1,3,9112,9488,9744
11,0.1,4,8104,4920,5160
11,0.1,5,10232,14032,14272
12,0.1,1,11664,13168,13416
12,0.1,2,13432,10168,10432
12,0.1,3,15392,15960,16240
12,0.1,4,13896,15488,15752
12,0.1,5,7744,6296,6576
13,0.1,1,14120,13016,13304
13,0.1,2,9376,5856,6128
13,0.1,3,16040,18136,18440
13,0.1,4,13376,10920,11208
13,0.1,5,11448,14112,14400
14,0.1,1,9696,5816,6128
14,0.1,2,12384,10832,11144
14,0.1,3,14872,14232,14528
14,0.1,4,15528,17344,17656
14,0.1,5,13800,14400,14696
15,0.1,1,19192,19824,20160
15,0.1,2,17384,24152,24488
15,0.1,3,11352,13096,13448
15,0.1,4,18336,17080,17432
15,0.1,5,12392,9792,10112
16,0.1,1,13120,15080,15440
16,0.1,2,16216,19952,20312
16,0.1,3,12040,15120,15480
16,0.1,4,9400,6296,6656
16,0.1,5,18712,22024,22368
17,0.1,1,15016,12016,12416
17,0.1,2,19936,19768,20152
17,0.1,3,17608,27744,28144
17,0.1,4,17736,19320,19720
17,0.1,5,24384,22312,22712
18,0.1,1,17720,18840,19248
18,0.1,2,20032,15624,16048
18,0.1,3,10560,9960,10384
18,0.1,4,12640,7768,8176
18,0.1,5,13272,10976,11384
19,0.1,1,22504,17984,18432
19,0.1,2,14472,17640,18072
19,0.1,3,17192,18464,18912
19,0.1,4,24256,22040,22488
19,0.1,5,30960,28888,29320
20,0.1,1,21600,24440,24912
20,0.1,2,20160,16608,17080
20,0.1,3,16312,14064,14536
20,0.1,4,21320,25368,25840
20,0.1,5,24528,23184,23656
21,0.1,1,25024,24264,24760
21,0.1,2,14880,14928,15424
21,0.1,3,14800,13128,13624
21,0.1,4,30192,34944,35440
21,0.1,5,33352,42352,42848
22,0.1,1,23608,23672,24176
22,0.1,2,24280,25576,26096
22,0.1,3,27432,23040,23544
