N,P,X,Cmap,Parents,Children
16,0.1,5,6152,10552,10928
17,0.1,1,3688,10128,10528
17,0.1,2,9088,12408,12808
17,0.1,3,8880,13928,14328
17,0.1,4,5680,10480,10880
17,0.1,5,8376,14032,14432
18,0.1,1,8080,14920,15344
18,0.1,2,9072,14168,14592
18,0.1,3,5632,11152,11560
18,0.1,4,5480,14168,14592
18,0.1,5,11296,16208,16632
19,0.1,1,9168,19296,19744
19,0.1,2,7184,17864,18312
19,0.1,3,12784,15880,16328
19,0.1,4,11272,15312,15760
19,0.1,5,7016,13328,13776
20,0.1,1,9184,13232,13704
20,0.1,2,8384,17168,17640
20,0.1,3,6328,13528,14000
20,0.1,4,9824,15640,16112
20,0.1,5,12384,15464,15936
21,0.1,1,8728,13592,14072
21,0.1,2,9520,12448,12944
21,0.1,3,7888,15000,15496
21,0.1,4,10856,16200,16696
21,0.1,5,8336,15096,15592
22,0.1,1,6664,11272,11792
22,0.1,2,12080,18432,18952
22,0.1,3,10920,15104,15624
22,0.1,4,9176,18352,18872
22,0.1,5,10192,15920,16440
23,0.1,1,6512,12024,12568
23,0.1,2,8208,14832,15376
23,0.1,3,11128,15512,16056
23,0.1,4,10208,12624,13168
23,0.1,5,10568,21248,21792
24,0.1,1,8464,18680,19248
24,0.1,2,7728,15368,15936
24,0.1,3,13360,19744,20312
24,0.1,4,7456,11736,12288
24,0.1,5,5896,14536,15104
25,0.1,1,7184,15960,16552
25,0.1,2,10824,19192,19784
25,0.1,3,12000,20408,21000
25,0.1,4,9496,17544,18136
25,0.1,5,9328,21152,21744
26,0.1,1,12200,21992,22608
26,0.1,2,9152,16232,16848
26,0.1,3,11744,15712,16328
26,0.1,4,7200,15952,16568
26,0.1,5,7120,16240,16856
27,0.1,1,10680,20120,20760
27,0.1,2,9512,15616,16256
27,0.1,3,12512,20096,20736
27,0.1,4,14840,22776,23416
27,0.1,5,13712,22888,23528
28,0.1,1,12008,17024,17688
28,0.1,2,8400,15648,16312
28,0.1,3,10512,18536,19200
28,0.1,4,10840,20752,21416
28,0.1,5,7616,16320,16984
