N,P,X,Filesize,Cachesize
96,0.0,2,32768,34232
96,0.0,3,32768,25608
96,0.0,4,28672,28144
96,0.0,5,28672,25288
97,0.0,1,32768,27832
97,0.0,2,32768,27384
97,0.0,3,32768,21968
97,0.0,4,45056,44768
97,0.0,5,32768,20160
98,0.0,1,28672,24512
98,0.0,2,32768,22360
98,0.0,3,28672,20488
98,0.0,4,36864,29536
98,0.0,5,32768,22320
99,0.0,1,32768,25688
99,0.0,2,32768,23312
99,0.0,3,28672,20288
99,0.0,4,32768,31920
99,0.0,5,32768,31720
100,0.0,1,32768,29576
100,0.0,2,28672,25112
100,0.0,3,32768,27800
100,0.0,4,32768,24624
100,0.0,5,32768,22056
1,0.1,1,12288,16
1,0.1,2,12288,16
1,0.1,3,12288,16
1,0.1,4,12288,16
1,0.1,5,12288,16
2,0.1,1,12288,3960
2,0.1,2,12288,3864
2,0.1,3,12288,3640
2,0.1,4,12288,5184
2,0.1,5,12288,5800
3,0.1,1,12288,4928
3,0.1,2,12288,3936
3,0.1,3,12288,5256
3,0.1,4,12288,4720
3,0.1,5,12288,5632
4,0.1,1,12288,8064
4,0.1,2,12288,6504
4,0.1,3,12288,7448
4,0.1,4,12288,7376
4,0.1,5,12288,6320
5,0.1,1,12288,5928
5,0.1,2,12288,6488
5,0.1,3,12288,8680
5,0.1,4,12288,8576
5,0.1,5,12288,5912
6,0.1,1,12288,9032
6,0.1,2,12288,11944
6,0.1,3,12288,8704
6,0.1,4,12288,6640
6,0.1,5,12288,8080
7,0.1,1,12288,7736
7,0.1,2,12288,12256
7,0.1,3,12288,9792
7,0.1,4,12288,10344
7,0.1,5,12288,9648
8,0.1,1,12288,8072
8,0.1,2,12288,7408
8,0.1,3,12288,9320
8,0.1,4,12288,10056
8,0.1,5,12288,10944
9,0.1,1,12288,10680
9,0.1,2,12288,7800
9,0.1,3,12288,11920
9,0.1,4,12288,11088
9,0.1,5,12288,14720
10,0.1,1,12288,9784
10,0.1,2,12288,13616
10,0.1,3,12288,10760
10,0.1,4,12288,14368
10,0.1,5,12288,14648
11,0.1,1,12288,14912
11,0.1,2,12288,14808
11,0.1,3,12288,12832
11,0.1,4,12288,11800
11,0.1,5,12288,10224
12,0.1,1,12288,10656
12,0.1,2,12288,14304
12,0.1,3,12288,11640
12,0.1,4,12288,16808
12,0.1,5,12288,12136
13,0.1,1,12288,10584
13,0.1,2,12288,12480
13,0.1,3,12288,13120
13,0.1,4,12288,9232
13,0.1,5,12288,13680
14,0.1,1,12288,19216
14,0.1,2,12288,8984
14,0.1,3,12288,10784
14,0.1,4,12288,10808
14,0.1,5,12288,14056
15,0.1,1,12288,14672
15,0.1,2,12288,11472
15,0.1,3,12288,11296
15,0.1,4,12288,9640
15,0.1,5,12288,14888
16,0.1,1,12288,10088
16,0.1,2,12288,10640
16,0.1,3,12288,16008
16,0.1,4,12288,12576
16,0.1,5,12288,12512
17,0.1,1,12288,9888
17,0.1,2,12288,14576
17,0.1,3,12288,13952
17,0.1,4,12288,10816
17,0.1,5,12288,12424
18,0.1,1,12288,16968
18,0.1,2,12288,16296
18,0.1,3,12288,11456
18,0.1,4,12288,15472
18,0.1,5,12288,18584
