N,P,X,History
86,0.1,2,96088
86,0.1,3,73600
86,0.1,4,74328
86,0.1,5,79440
87,0.1,1,84160
87,0.1,2,82568
87,0.1,3,73520
87,0.1,4,84040
87,0.1,5,76976
88,0.1,1,75432
88,0.1,2,72560
88,0.1,3,75912
88,0.1,4,93712
88,0.1,5,63712
89,0.1,1,82664
89,0.1,2,78800
89,0.1,3,77688
89,0.1,4,87512
89,0.1,5,78432
90,0.1,1,93152
90,0.1,2,87488
90,0.1,3,72928
90,0.1,4,83968
90,0.1,5,73328
91,0.1,1,80712
91,0.1,2,86528
91,0.1,3,94976
91,0.1,4,95872
91,0.1,5,79296
92,0.1,1,110848
92,0.1,2,73192
92,0.1,3,77200
92,0.1,4,83704
92,0.1,5,75840
93,0.1,1,89016
93,0.1,2,86696
93,0.1,3,98768
93,0.1,4,85616
93,0.1,5,80576
94,0.1,1,83880
94,0.1,2,82720
94,0.1,3,61072
94,0.1,4,93656
94,0.1,5,92368
95,0.1,1,88648
95,0.1,2,79392
95,0.1,3,85192
95,0.1,4,82232
95,0.1,5,77384
96,0.1,1,80896
96,0.1,2,82424
96,0.1,3,82776
96,0.1,4,87432
96,0.1,5,76080
97,0.1,1,96280
97,0.1,2,89264
97,0.1,3,92424
97,0.1,4,79232
97,0.1,5,88360
98,0.1,1,88840
98,0.1,2,99680
98,0.1,3,78624
98,0.1,4,84896
98,0.1,5,76136
99,0.1,1,96952
99,0.1,2,96120
99,0.1,3,82552
99,0.1,4,78520
99,0.1,5,91704
100,0.1,1,100904
100,0.1,2,100480
100,0.1,3,80152
100,0.1,4,100960
100,0.1,5,79744
1,0.2,1,2040
1,0.2,2,2040
1,0.2,3,2040
1,0.2,4,2040
1,0.2,5,2040
2,0.2,1,2352
2,0.2,2,2592
2,0.2,3,3432
2,0.2,4,2576
2,0.2,5,3056
3,0.2,1,2568
3,0.2,2,3624
3,0.2,3,3232
3,0.2,4,3696
3,0.2,5,2992
4,0.2,1,3192
4,0.2,2,4952
4,0.2,3,5416
4,0.2,4,6936
4,0.2,5,4240
5,0.2,1,7000
5,0.2,2,9160
5,0.2,3,5896
5,0.2,4,5872
5,0.2,5,6280
6,0.2,1,6640
6,0.2,2,6984
6,0.2,3,7904
6,0.2,4,9168
6,0.2,5,7512
7,0.2,1,12752
7,0.2,2,7872
7,0.2,3,7520
7,0.2,4,7064
7,0.2,5,7912
8,0.2,1,10048
8,0.2,2,6816
8,0.2,3,6896
8,0.2,4,6408
8,0.2,5,10896
9,0.2,1,8832
9,0.2,2,12432
9,0.2,3,11448
9,0.2,4,8160
9,0.2,5,8720
10,0.2,1,12504
10,0.2,2,12640
10,0.2,3,9616
10,0.2,4,12392
10,0.2,5,10520
11,0.2,1,7240
11,0.2,2,10568
11,0.2,3,8512
11,0.2,4,10032
11,0.2,5,9928
12,0.2,1,11584
12,0.2,2,13800
12,0.2,3,12240
12,0.2,4,13504
12,0.2,5,7056
13,0.2,1,8592
13,0.2,2,16696
13,0.2,3,11496
13,0.2,4,9648
13,0.2,5,8472
14,0.2,1,13640
14,0.2,2,12424
14,0.2,3,19032
14,0.2,4,12184
14,0.2,5,11576
15,0.2,1,12792
15,0.2,2,20472
15,0.2,3,15416
15,0.2,4,16160
15,0.2,5,19376
