N,P,X,Filesize
63,0.1,4,28672
63,0.1,5,24576
64,0.1,1,28672
64,0.1,2,28672
64,0.1,3,28672
64,0.1,4,28672
64,0.1,5,24576
65,0.1,1,28672
65,0.1,2,24576
65,0.1,3,28672
65,0.1,4,28672
65,0.1,5,28672
66,0.1,1,32768
66,0.1,2,24576
66,0.1,3,28672
66,0.1,4,24576
66,0.1,5,28672
67,0.1,1,28672
67,0.1,2,28672
67,0.1,3,28672
67,0.1,4,32768
67,0.1,5,28672
68,0.1,1,24576
68,0.1,2,28672
68,0.1,3,28672
68,0.1,4,28672
68,0.1,5,24576
69,0.1,1,28672
69,0.1,2,28672
69,0.1,3,28672
69,0.1,4,28672
69,0.1,5,24576
70,0.1,1,28672
70,0.1,2,28672
70,0.1,3,28672
70,0.1,4,28672
70,0.1,5,28672
71,0.1,1,28672
71,0.1,2,28672
71,0.1,3,28672
71,0.1,4,32768
71,0.1,5,32768
72,0.1,1,28672
72,0.1,2,28672
72,0.1,3,28672
72,0.1,4,28672
72,0.1,5,32768
73,0.1,1,28672
73,0.1,2,28672
73,0.1,3,28672
73,0.1,4,32768
73,0.1,5,32768
74,0.1,1,28672
74,0.1,2,28672
74,0.1,3,28672
74,0.1,4,28672
74,0.1,5,32768
75,0.1,1,28672
75,0.1,2,28672
75,0.1,3,28672
75,0.1,4,28672
75,0.1,5,28672
76,0.1,1,32768
76,0.1,2,32768
76,0.1,3,36864
76,0.1,4,28672
76,0.1,5,36864
77,0.1,1,32768
77,0.1,2,32768
77,0.1,3,28672
77,0.1,4,32768
77,0.1,5,28672
78,0.1,1,28672
78,0.1,2,28672
78,0.1,3,32768
78,0.1,4,28672
78,0.1,5,28672
79,0.1,1,28672
79,0.1,2,28672
79,0.1,3,28672
79,0.1,4,28672
79,0.1,5,32768
80,0.1,1,32768
80,0.1,2,32768
80,0.1,3,32768
80,0.1,4,32768
80,0.1,5,32768
81,0.1,1,32768
81,0.1,2,32768
81,0.1,3,32768
81,0.1,4,32768
81,0.1,5,28672
82,0.1,1,32768
82,0.1,2,32768
82,0.1,3,32768
82,0.1,4,28672
82,0.1,5,32768
83,0.1,1,32768
