N,P,X,Cmap,Parents,Children
13,0.1,5,5976,9792,10096
14,0.1,1,4848,8544,8856
14,0.1,2,4184,5304,5616
14,0.1,3,6576,8264,8576
14,0.1,4,7448,13184,13512
14,0.1,5,11624,17136,17464
15,0.1,1,6192,11632,11984
15,0.1,2,4096,6472,6808
15,0.1,3,6224,7888,8224
15,0.1,4,5392,7336,7672
15,0.1,5,6024,9312,9648
16,0.1,1,8608,11632,11992
16,0.1,2,6256,14184,14560
16,0.1,3,12728,15536,15936
16,0.1,4,6912,10312,10688
16,0.1,5,3648,10032,10408
17,0.1,1,6816,12200,12600
17,0.1,2,11312,16352,16752
17,0.1,3,4584,11640,12040
17,0.1,4,8608,12648,13048
17,0.1,5,6248,10408,10792
18,0.1,1,8472,12584,13008
18,0.1,2,5776,12448,12872
18,0.1,3,5912,13568,13992
18,0.1,4,9624,11520,11928
18,0.1,5,7640,17232,17656
19,0.1,1,9240,20656,21104
19,0.1,2,5424,9040,9488
19,0.1,3,8112,13640,14088
19,0.1,4,7840,10408,10856
19,0.1,5,9296,12152,12600
20,0.1,1,12992,17760,18232
20,0.1,2,5672,17080,17552
20,0.1,3,8032,13432,13904
20,0.1,4,12920,18424,18896
20,0.1,5,8008,10592,11048
21,0.1,1,12832,18424,18920
21,0.1,2,8144,11432,11928
21,0.1,3,6928,15864,16360
21,0.1,4,8968,13408,13904
21,0.1,5,6288,13256,13752
22,0.1,1,9648,17256,17776
22,0.1,2,9832,15192,15712
22,0.1,3,9352,15576,16096
22,0.1,4,12184,18456,18976
22,0.1,5,12080,17696,18216
23,0.1,1,9664,13384,13912
23,0.1,2,8680,15416,15960
23,0.1,3,9112,15016,15560
23,0.1,4,11520,18840,19384
23,0.1,5,11864,15472,16016
24,0.1,1,11240,22568,23136
24,0.1,2,7360,16864,17432
24,0.1,3,8544,15296,15864
24,0.1,4,11232,15376,15944
24,0.1,5,8520,16400,16968
25,0.1,1,14112,20040,20632
25,0.1,2,12016,14864,15456
25,0.1,3,8512,20096,20688
25,0.1,4,17200,19648,20240
25,0.1,5,6280,12736,13328
26,0.1,1,12992,16304,16920
26,0.1,2,12376,19688,20304
26,0.1,3,10456,16104,16720
26,0.1,4,13112,17408,18024
26,0.1,5,9712,18072,18688
27,0.1,1,12248,19288,19928
27,0.1,2,9888,18032,18672
27,0.1,3,12168,18752,19392
27,0.1,4,11224,18384,19024
27,0.1,5,12152,22376,23016
28,0.1,1,13584,21944,22608
28,0.1,2,17192,21416,22080
28,0.1,3,10352,22144,22808
28,0.1,4,10272,20344,21008
28,0.1,5,13528,22432,23096
29,0.1,1,10128,17560,18248
29,0.1,2,11304,22880,23568
29,0.1,3,15232,25384,26072
29,0.1,4,10704,20368,21056
29,0.1,5,9352,16712,17400
30,0.1,1,14880,23872,24584
30,0.1,2,7152,17448,18160
30,0.1,3,9776,18856,19568
30,0.1,4,9048,16816,17512
30,0.1,5,12464,19608,20320
31,0.1,1,14496,21432,22168
31,0.1,2,9760,19288,20024
31,0.1,3,18992,25400,26136
31,0.1,4,9952,21720,22456
31,0.1,5,16968,24008,24744
32,0.1,1,10248,22800,23560
32,0.1,2,10168,19896,20656
32,0.1,3,13280,19560,20320
32,0.1,4,15408,25704,26464
32,0.1,5,13576,21024,21784
33,0.1,1,7232,18032,18816
33,0.1,2,13200,20960,21768
33,0.1,3,13632,21584,22368
33,0.1,4,15928,23528,24312
33,0.1,5,13360,23944,24728
34,0.1,1,12312,19088,19896
34,0.1,2,18240,28016,28824
34,0.1,3,11776,20784,21592
34,0.1,4,9184,22272,23104
34,0.1,5,17160,29576,30384
35,0.1,1,18312,29928,30760
35,0.1,2,11152,20952,21784
35,0.1,3,14960,21864,22696
35,0.1,4,15800,21872,22704
35,0.1,5,21456,25464,26296
36,0.1,1,15944,30296,31152
36,0.1,2,15008,25560,26416
36,0.1,3,13528,24352,25208
36,0.1,4,16832,27048,27928
36,0.1,5,9104,20992,21848
37,0.1,1,18360,31696,32576
37,0.1,2,18432,32248,33128
37,0.1,3,14048,25296,26176
37,0.1,4,14856,27824,28704
37,0.1,5,15744,27336,28216
38,0.1,1,10728,25936,26840
38,0.1,2,9624,24776,25680
38,0.1,3,12880,27432,28336
38,0.1,4,17072,32120,33024
38,0.1,5,10824,29848,30752
39,0.1,1,14560,29720,30648
39,0.1,2,10728,27008,27936
39,0.1,3,19704,29640,30568
39,0.1,4,15592,29456,30384
39,0.1,5,20832,30056,30984
40,0.1,1,18232,39392,40344
40,0.1,2,11432,22168,23120
40,0.1,3,14200,27952,28904
40,0.1,4,12600,27120,28072
40,0.1,5,13000,24136,25088
41,0.1,1,12360,23192,24168
41,0.1,2,18896,34296,35272
41,0.1,3,15672,38496,39472
41,0.1,4,20912,35440,36416
41,0.1,5,14944,33592,34568
42,0.1,1,10608,30496,31496
42,0.1,2,16464,27920,28944
42,0.1,3,20272,29520,30520
42,0.1,4,12736,23856,24856
42,0.1,5,13032,28264,29264
43,0.1,1,14072,21552,22560
43,0.1,2,15912,29352,30376
43,0.1,3,15136,27176,28200
43,0.1,4,17032,28104,29128
43,0.1,5,17136,31152,32176
44,0.1,1,14952,22912,23960
44,0.1,2,19536,30384,31432
44,0.1,3,16808,32760,33808
44,0.1,4,17136,36504,37552
44,0.1,5,14136,26792,27840
45,0.1,1,14768,31280,32352
45,0.1,2,26720,31672,32768
45,0.1,3,18296,30456,31552
45,0.1,4,20000,36352,37424
45,0.1,5,12488,30328,31400
46,0.1,1,24000,42456,43552
46,0.1,2,17336,33784,34880
46,0.1,3,19008,28400,29496
46,0.1,4,20840,36152,37248
46,0.1,5,16040,30848,31944
47,0.1,1,19144,36896,38016
47,0.1,2,20128,30504,31624
47,0.1,3,20536,32024,33144
47,0.1,4,26384,36288,37408
47,0.1,5,17080,26544,27688
48,0.1,1,21736,37360,38504
48,0.1,2,16176,28496,29664
48,0.1,3,16160,30408,31552
48,0.1,4,22192,36672,37816
48,0.1,5,16208,35416,36560
49,0.1,1,21704,35840,37008
49,0.1,2,15184,30616,31784
49,0.1,3,19296,35704,36872
49,0.1,4,19048,32104,33272
49,0.1,5,30632,40368,41536
50,0.1,1,19928,30008,31200
50,0.1,2,14656,30312,31504
50,0.1,3,17272,38504,39696
50,0.1,4,20800,31240,32432
50,0.1,5,21040,33984,35176
51,0.1,1,21144,36464,37680
51,0.1,2,21896,37736,38952
51,0.1,3,16416,28568,29784
51,0.1,4,18032,29632,30848
51,0.1,5,20008,38048,39264
52,0.1,1,22440,35064,36304
52,0.1,2,19592,30672,31912
52,0.1,3,22728,38112,39352
52,0.1,4,16344,35208,36448
52,0.1,5,18464,33384,34624
53,0.1,1,22744,32824,34088
53,0.1,2,14840,27928,29192
53,0.1,3,21120,33360,34624
53,0.1,4,19816,40288,41552
53,0.1,5,20952,36560,37824
54,0.1,1,21544,36048,37336
54,0.1,2,20080,34944,36232
54,0.1,3,29520,42280,43568
54,0.1,4,16080,37328,38616
54,0.1,5,22232,31168,32456
55,0.1,1,16936,35872,37184
55,0.1,2,22384,37072,38384
55,0.1,3,27784,41888,43200
55,0.1,4,12976,31688,33000
55,0.1,5,17256,41920,43232
56,0.1,1,29024,47072,48408
56,0.1,2,25176,38040,39376
56,0.1,3,18256,31232,32568
56,0.1,4,18816,35760,37096
56,0.1,5,18480,32504,33840
57,0.1,1,26712,45288,46648
57,0.1,2,21032,34848,36208
57,0.1,3,18656,34824,36184
57,0.1,4,19872,38800,40160
57,0.1,5,23552,39136,40496
58,0.1,1,21168,39072,40456
58,0.1,2,20512,43976,45360
58,0.1,3,17344,33544,34928
58,0.1,4,26144,42456,43840
58,0.1,5,24872,44432,45816
59,0.1,1,26480,37936,39344
59,0.1,2,14264,37528,38936
59,0.1,3,29728,48232,49640
59,0.1,4,22248,32064,33472
59,0.1,5,24416,40184,41592
60,0.1,1,20120,42440,43872
60,0.1,2,20072,39256,40688
60,0.1,3,23000,43456,44912
60,0.1,4,22312,39056,40488
60,0.1,5,27416,46568,48000
61,0.1,1,19376,44024,45480
61,0.1,2,27320,49016,50472
61,0.1,3,23392,47136,48592
61,0.1,4,23256,46728,48184
61,0.1,5,27776,35560,37016
62,0.1,1,21776,34296,35776
62,0.1,2,17352,37064,38544
62,0.1,3,23880,36728,38208
62,0.1,4,31024,51536,53016
62,0.1,5,21272,40560,42040
63,0.1,1,26952,44160,45664
63,0.1,2,27392,51776,53280
63,0.1,3,24136,45336,46840
63,0.1,4,28864,42296,43800
63,0.1,5,22456,38936,40440
64,0.1,1,22800,39792,41320
64,0.1,2,22240,41072,42600
64,0.1,3,28552,45504,47032
64,0.1,4,30200,46936,48464
64,0.1,5,18960,44696,46224
65,0.1,1,28944,50056,51632
