N,P,Size
890,0.5,463848
891,0.5,487408
892,0.5,481184
893,0.5,507832
894,0.5,468920
895,0.5,477936
896,0.5,485168
897,0.5,466136
898,0.5,472920
899,0.5,475320
900,0.5,468656
901,0.5,507968
902,0.5,457264
903,0.5,514136
904,0.5,452000
905,0.5,468064
906,0.5,482568
907,0.5,464624
908,0.5,472824
909,0.5,484856
910,0.5,470528
911,0.5,463600
912,0.5,506376
913,0.5,502752
914,0.5,505272
915,0.5,495080
916,0.5,495440
917,0.5,528600
918,0.5,490424
919,0.5,497576
920,0.5,490352
921,0.5,534144
922,0.5,455432
923,0.5,510192
924,0.5,505816
925,0.5,517400
926,0.5,536256
927,0.5,509304
928,0.5,497440
929,0.5,503072
930,0.5,461904
931,0.5,519600
932,0.5,483352
933,0.5,484016
934,0.5,498232
935,0.5,517568
936,0.5,529168
937,0.5,489144
938,0.5,499016
939,0.5,507816
940,0.5,501272
941,0.5,514456
942,0.5,476072
943,0.5,487464
944,0.5,539216
945,0.5,516352
946,0.5,504672
947,0.5,544536
948,0.5,481448
949,0.5,523504
950,0.5,489016
951,0.5,503624
952,0.5,522968
953,0.5,519072
954,0.5,513504
955,0.5,547808
956,0.5,509760
957,0.5,514992
958,0.5,512160
959,0.5,497808
960,0.5,471544
961,0.5,525776
962,0.5,498128
963,0.5,535384
964,0.5,503960
965,0.5,494408
966,0.5,513296
967,0.5,526720
968,0.5,488504
969,0.5,525136
970,0.5,538024
971,0.5,507088
972,0.5,549192
973,0.5,525096
974,0.5,491576
975,0.5,506888
976,0.5,505776
977,0.5,541200
978,0.5,524320
979,0.5,483168
980,0.5,515424
981,0.5,525392
982,0.5,496792
983,0.5,538848
984,0.5,507496
985,0.5,537328
986,0.5,553472
987,0.5,542360
988,0.5,522968
989,0.5,525216
990,0.5,520704
991,0.5,530288
992,0.5,542720
993,0.5,533016
994,0.5,539224
995,0.5,559584
996,0.5,553488
997,0.5,522072
998,0.5,549624
999,0.5,545368
1000,0.5,542728
